ATM Pin Number	ATM Pin Name	ATM Pin Description	Raspberry Pi Pin	Raspberry Pi Pin Description	Raspberry Pi GPIO Pin Number	Connection Type
1	GND	Power Ground	6 (GND)	Ground pin on Raspberry Pi	GND	Direct connection (shared ground)
2	ZX0	Zero-crossing signal output0	GPIO 17	General-purpose I/O (GPIO 17)	Pin 11	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
3	ZX1	Zero-crossing signal output1	GPIO 27	General-purpose I/O (GPIO 27)	Pin 13	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
4	ZX2	Zero-crossing signal output2	GPIO 22	General-purpose I/O (GPIO 22)	Pin 15	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
5	CF1	Active energy pulse output	GPIO 5	General-purpose I/O (GPIO 5)	Pin 29	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
6	CF2	Reactive/ Apparent energy pulse output	GPIO 6	General-purpose I/O (GPIO 6)	Pin 31	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
7	CF3	Fundamental energy pulse output	GPIO 13	General-purpose I/O (GPIO 13)	Pin 33	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
8	CF4	Harmonic energy pulse output	GPIO 19	General-purpose I/O (GPIO 19)	Pin 35	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
9	Warn Out	Warn out signal output	GPIO 26	General-purpose I/O (GPIO 26)	Pin 37	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
10	IRQ0	Interrupt request signal output0	GPIO 16	General-purpose I/O (GPIO 16)	Pin 36	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
11	IRQ1	Interrupt request signal output1	GPIO 20	General-purpose I/O (GPIO 20)	Pin 38	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
12	PM0	Power Mode Configuration 0	GPIO 21	General-purpose I/O (GPIO 21)	Pin 40	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
13	PM1	Power Mode Configuration 1	GPIO 12	General-purpose I/O (GPIO 12)	Pin 32	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
14	DMA	DMA enable	GPIO 25	General-purpose I/O (GPIO 25)	Pin 22	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
15	SDI (SPI MOSI)	SPI Serial Data Input (MOSI)	GPIO 10	SPI MOSI (Master Out Slave In)	Pin 19	Direct connection (SPI interface)
16	CS (SPI Chip Select)	SPI Chip Select Input	GPIO 8	SPI Chip Select (CS)	Pin 24	Direct connection (SPI interface)
17	SCLK (SPI Clock)	SPI Serial Clock Input	GPIO 11	SPI Clock (SCLK)	Pin 23	Direct connection (SPI interface)
18	SDO (SPI MISO)	SPI Serial Data Output (MISO)	GPIO 9	SPI MISO (Master In Slave Out)	Pin 21	Direct connection (SPI interface)
19	EXT_VDD	Power supply (controlled by Jumper J1)	5V	5V pin on Raspberry Pi	Pin 2 or 4	Power (direct connection if applicable)
20	RST (Chip Reset, Active Low)	Chip Reset. Active low	GPIO 4	General-purpose I/O (GPIO 4)	Pin 7	Optocoupler (GPIO → Anode of LED, Cathode → Resistor → GND)
